pair,base,quote
SOL/USDT,SOL,USDT
BNB/USDT,BNB,USDT
ETH/USDT,ETH,USDT
BTC/USDT,BTC,USDT
DOGE/USDT,DOGE,USDT
MERL/USDT,MERL,USDT
AAVE/USDT,AAVE,USDT
LTC/USDT,LTC,USDT
WLD/USDT,WLD,USDT
CHEEMS/USDT,CHEEMS,USDT
ARC/USDT,ARC,USDT
FARTCOIN/USDT,FARTCOIN,USDT
GRIFFAIN/USDT,GRIFFAIN,USDT
MELANIA/USDT,MELANIA,USDT
MEW/USDT,MEW,USDT
MOODENG/USDT,MOODENG,USDT
POPCAT/USDT,POPCAT,USDT
VINE/USDT,VINE,USDT
VVV/USDT,VVV,USDT
TST/USDT,TST,USDT
AVL/USDT,AVL,USDT
LIBRA/USDT,LIBRA,USDT
BROCCOLI/USDT,BROCCOLI,USDT
RAY/USDT,RAY,USDT
JUP/USDT,JUP,USDT
ACT/USDT,ACT,USDT
ADA/USDT,ADA,USDT
XRP/USDT,XRP,USDT
EOS/USDT,EOS,USDT
PNUT/USDT,PNUT,USDT
BNX/USDT,BNX,USDT
TRX/USDT,TRX,USDT
BAKE/USDT,BAKE,USDT
OM/USDT,OM,USDT
CAKE/USDT,CAKE,USDT
PEPE/USDT,PEPE,USDT
PENGU/USDT,PENGU,USDT
WIF/USDT,WIF,USDT
LINK/USDT,LINK,USDT
AI16Z/USDT,AI16Z,USDT
VIRTUAL/USDT,VIRTUAL,USDT
HYPE/USDT,HYPE,USDT
SUI/USDT,SUI,USDT
AIXBT/USDT,AIXBT,USDT
TRUMP/USDT,TRUMP,USDT
IP/USDT,IP,USDT
SHELL/USDT,SHELL,USDT
PI/USDT,PI,USDT
KAITO/USDT,KAITO,USDT
BAN/USDT,BAN,USDT
VANA/USDT,VANA,USDT
TON/USDT,TON,USDT
DOG/USDT,DOG,USDT
ORDI/USDT,ORDI,USDT
SATS/USDT,SATS,USDT
MUBARAK/USDT,MUBARAK,USDT
ORCA/USDT,ORCA,USDT
S/USDT,S,USDT
PARTI/USDT,PARTI,USDT
PAXG/USDT,PAXG,USDT
FHE/USDT,FHE,USDT
BABY/USDT,BABY,USDT
LPT/USDT,LPT,USDT
ENA/USDT,ENA,USDT
ARB/USDT,ARB,USDT
MASK/USDT,MASK,USDT
MKR/USDT,MKR,USDT
TAO/USDT,TAO,USDT
AVAX/USDT,AVAX,USDT
RESOLV/USDT,RESOLV,USDT
SPX/USDT,SPX,USDT
1000BONK/USDT,1000BONK,USDT
PUMP/USDT,PUMP,USDT
SAHARA/USDT,SAHARA,USDT
CFX/USDT,CFX,USDT
MYX/USDT,MYX,USDT
OKB/USDT,OKB,USDT
BGB/USDT,BGB,USDT
MNT/USDT,MNT,USDT
PLUME/USDT,PLUME,USDT
DOT/USDT,DOT,USDT
BIO/USDT,BIO,USDT
YZY/USDT,YZY,USDT
WLFI/USDT,WLFI,USDT
XPL/USDT,XPL,USDT
TREE/USDT,TREE,USDT
LINEA/USDT,LINEA,USDT
JELLYJELLY/USDT,JELLYJELLY,USDT
M/USDT,M,USDT
BCH/USDT,BCH,USDT
LAUNCHCOIN/USDT,LAUNCHCOIN,USDT
SOMI/USDT,SOMI,USDT
NMR/USDT,NMR,USDT
SAPIEN/USDT,SAPIEN,USDT
RED/USDT,RED,USDT
BTR/USDT,BTR,USDT
TA/USDT,TA,USDT
OPEN/USDT,OPEN,USDT
FLOCK/USDT,FLOCK,USDT
K/USDT,K,USDT
AI/USDT,AI,USDT
B2/USDT,B2,USDT
YGG/USDT,YGG,USDT
HIFI/USDT,HIFI,USDT
BSW/USDT,BSW,USDT
MEME/USDT,MEME,USDT
AVNT/USDT,AVNT,USDT
CRV/USDT,CRV,USDT
ZKC/USDT,ZKC,USDT
Q/USDT,Q,USDT
PEOPLE/USDT,PEOPLE,USDT
RHEA/USDT,RHEA,USDT
ASTER/USDT,ASTER,USDT
STBL/USDT,STBL,USDT
SUN/USDT,SUN,USDT
W/USDT,W,USDT
0G/USDT,0G,USDT
UXLINK/USDT,UXLINK,USDT
FTT/USDT,FTT,USDT
MIRA/USDT,MIRA,USDT
WAL/USDT,WAL,USDT
ZEC/USDT,ZEC,USDT
AGT/USDT,AGT,USDT
COAI/USDT,COAI,USDT
AIA/USDT,AIA,USDT
GIGGLE/USDT,GIGGLE,USDT
MON/USDT,MON,USDT
LIGHT/USDT,LIGHT,USDT
XAN/USDT,XAN,USDT
FF/USDT,FF,USDT
4/USDT,4,USDT
2Z/USDT,2Z,USDT
